Identifier,Book number,page number,Folder Title,Box,Folder,Note,Scan date,Scan initials,Crop initials,title,creator,abstract,date_approximate,Extent,subject,subject_URI,subject2,subject2_URI,subject_geo,subject_geo_URI,form,form_URI,Language,Language 2,typeOfResource,typeOfResource2,rights,rights_statement,repository,provider
ms3976-b1-f1-f3,,,,,,,,,,Lane College scrapbook,"Spann, Lessie Belle","Lessie Belle Spann collected this 45-page scrapbook during her senior year at Lane College in 1923. The scrapbook includes photos cut from yearbooks, poems and messages from classmates, and several personal photos from Spann.",1923,93 pages,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_001,1,1,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 1","Spann, Lessie Belle",My Graduation Journal. Arranged by Eleanora Edwards. Decorations by Clare J. Foy. The Universal Press. Incorporated. Chicago.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_002,1,2,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 2","Spann, Lessie Belle","Copyright 1923. The Universal Press, Inc. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_003,1,3,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 3","Spann, Lessie Belle",Bishop Lane. Founder of Lane College.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_004,1,4,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 4","Spann, Lessie Belle","My Alma Mater. Lane, my Alma Mater, thy name of love. When by memory 'tis fondly recalled; I hear the loved voices from above. I see the dear faces and love them all. I love them because they taught me the way. From ignorance clutches(?) so firm and strong. All lessons I learned there from day to day have helped me to journey life's pathway long. II. Lane, my Alma Mater, precious and dear. I hear the melody of the old bell; I hear as though I still live near near. My heart is touched as when I near did dwell. Long may thy name reserved from hill and plain. Long be the richest truths in merry giv'n. 'Til power and knowledge every where reign. 'Til ignorance from our land is driven. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_005,1,5,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 5","Spann, Lessie Belle",Clubs. 1924. 1924. 1924. Juniors. Juniors.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_006,1,6,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 6","Spann, Lessie Belle","Athletics. ""The Squabblers"" 1923. Signal Signal!!! 1923. ""Studebaker."" Tuti fruiti punch and Judy!! Bet old Lane will do her duty!! Dont you worry dont you fret, Bet old Lane will get there yet!!! RAM!! 1923. Watch out Golden Legs will get you!!! Star 7.B. ""Sam"" Jollette.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_007,1,7,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 7","Spann, Lessie Belle","Athletics. ""Victims of Defeat."" 1923. The Coach. ""Varsity Circle."" 1923. On the way to victory. 1923. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_008,1,8,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 8","Spann, Lessie Belle",Athletics.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_009,1,9,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 9","Spann, Lessie Belle","Class poem. A band of sisters linger we, / Here at the parting of the ways / As Seniors grace of '23 / we pause to think of gone days. // Half sad, half joyful we await. / A touch from Alma Mater kind / we wonder what shall be our fate / when we these scenes have left behind. // The future now a closed book. / It is not ours to understand. / Lets take a retrospective look, / And here survey our little land. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_010,1,10,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 10","Spann, Lessie Belle","Class song. When you come to the end of the Senior year, / And you think of the days long gone by / While the school bell sings with a sadness deep. / For the time now to part draws nigh, / Do you know what the end of the Senior year can mean to the Seniors heart? / When the sun goes down and all must leave when the classmates have to part. // II. Well this is the end of our Senior year near the end of our journey here, For it leaves a thought that is big and strong, with a wish for our school so dear / For memory will paint this our Senior year / with colors that cannot fade / and we leave at the end of our Senior year / the friends to true we've made. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_011,1,11,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 11","Spann, Lessie Belle","See fair Louise, who graces well / our honored presidential chair / And here's our twins - - - it's hard to tell / Just which is which of their sweet pair. // There's Dimple dressed and dignified / In Paris she may land some day, / there's jolly Mildred, one who sees, / life musical height and gay. // There's Lucille largest of the eleven / she's large of heart and soul as well, / Here's one...long years to dance she's given / she's our historian, Lessie Belle. / ""A trained nurse is my calling see"" / says Myra, as she makes her bow; / Then delicate sweet Olive B. / replies, ""I'm ready for you now.""",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_012,1,12,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 12","Spann, Lessie Belle","Here's Florence, last to join our band. / Sweet girl! We're all so glad she came / and there's one more,---you understand / just why we do not call her name. // A dozen of us once there were, / still illness claimed our Gladys dear, / oh there! she left us now for her / we'll breathe a prayer and drop a tear. // So teachers, whom we greatly owe / our gratitude and love so true, / we know that we shall praise you best / by all unbravely(?) dare and do, / Dear school mate, Alma Mater kind, / may richest blessings rest on you; / Dear Juniors whom we leave behind, / we finish to begin anew.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_013,1,13,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 13","Spann, Lessie Belle","What'er the future has in store of cloud or sunshine for our days, fond mem'ries throw their hates o'er this sad, sweet parting of the way. By----Viola P. Flowers",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_014,1,14,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 14","Spann, Lessie Belle","Beatrice + Crite. Hattie + Thelma. ""So classic."" ""Waiting.""",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_015,1,15,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 15","Spann, Lessie Belle",My school. Old girls's hall. Boy's hall. 1923. 1923. New girls hall.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_016,1,16,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 16","Spann, Lessie Belle","Dear Lessie Bell, I have been glad to know you during these two years. I think you'll agree with me that our few little ""ups"" and ""downs"" have but tended, to strengthen our friendship. As you go thru life, remember these words. ""First to thine our self be true, and it would follow as the night the day, thou can not be false to anyman."" Your friend and teacher, Rose-Douglass Lewis, 503 N Theobald Ave. Greenville, Miss. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_017,1,17,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 17","Spann, Lessie Belle",Autographs of My Classmates.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_018,1,18,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 18","Spann, Lessie Belle","Autographs of My Classmates. In your golden chair of friendship please regard me as a link. Your class mate, M.H. Rowan 732 Lane Ave. Jackson, Tenn.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_019,1,19,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 19","Spann, Lessie Belle","Dear class mate, / Four things a man must learn to do, / if he would keep his record true. / To think without confusion--clearly, / to love his fellow man--sincerely, / to act from honest motives--purely, / to trust in God and heaven--securely. / A class mate, Olive B. Woods, 1626 Hatchkiss St. Shreveport, La. Just a few lines will make me happy.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_020,1,20,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 20","Spann, Lessie Belle",Autographs of My Classmates.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_021,1,21,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 21","Spann, Lessie Belle","Invitations and Social Events. May 17, 1923. A very pleasant sociable hour was spent today on the girl's Hall with my class mates in christian Evidence. We were being entertained by our beloved Teacher Dean Nelson. The menu consisted of cream and cake. After the serving several little talks of appreciation were given. From the Dining Hall we went to the Young Ladies Reception Room and there sang many songs and played piano. Later we took a walk around the block. A very enjoyable afternoon was spent.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_022,1,22,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 22","Spann, Lessie Belle","Invitations and Social Events. May 18, 1923. Fri. Eve. our Honorable Pres. and wife entertained the Seniors with a reseption that was a credit to any Pres. and his better half. I shall never forget the reception. The Eve. was spent in the playing of games which most any one would enjoy. A delightful menu was served which consisted of fruit and chicken salad, light bread and ice cream and cake.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_023,1,23,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 23","Spann, Lessie Belle",Autographs of My Classmates. Dearet Lessie Belle: Friendship is a noble thing - World with out end. But if you want a friend you must first be one. Lovingly D.M. Allen. 812 S. 7th St. Paducah Ky.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_024,1,24,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 24","Spann, Lessie Belle","Autographs of My Classmates. A little dreaming on the way, / A little toiling day by day, / A little pain, a little strife, / A little jay - this is life. A Classmate and friend. Viola Flowers. R 6, Box 115. Memphis Tenn. Please write. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_025,1,25,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 25","Spann, Lessie Belle","Autographs of My Classmates. My Dearest Lessie Bell:-. ""May your joys be as deep as the ocean, And your misfortunes as light as its foam."" Lovingly "" A classmate and friend. Florence Lovell. Lane College. Jackson, Tenn. or. 1106 E. 14th St. Winston-Salem. NC. Think of me as you tavel and if you pass by Howard next term. Visit me! Keep in touch with ""Cupid"" always.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_026,1,26,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 26","Spann, Lessie Belle","Autographs of My Classmates. Dear Lessie Bell: -. Above thy head, through rifted cloud, there shines a glorious star. Be patient, Trust thy star! your class mate. Lucile L. Price. 222 N. Main (?) St. Covington, Tenn. ""Just a line will make me smile""",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_027,1,27,"Lane College Scrapbook (1/3), 1923",1,1,Page torn in two,2023-03-08,SG,JM,"Lane College scrapbook, page 27","Spann, Lessie Belle","Class Play. Ever since Herodotus, Thusydides, and Xenophon various histories have been written, but no material you will agree affords better subject for history than the T.T. Class of '23. It was in Sept. 1915 when the famous Class of '23 filed in order to the Chapel and rec'd the first words of welcome from our much beloved President - President J.F. Lane. We rec'd thorough instructions in manners, street conduct and all that goes to make school life complete.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_028,1,28,"Lane College Scrapbook (1/3), 1923",1,1,Page torn in two,2023-03-08,SG,JM,"Lane College scrapbook, page 28","Spann, Lessie Belle","Class Play. At-that-time Myra and I were the only ones of the present class to start our march together toward the goal of '23. Our first years were spent in the beginning of the English Language. Most of our classes with Prof. Porter, much to our fear and horror. Time rolled on with its benefits and difficlties until in the fall of '17.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_029,1,29,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 29","Spann, Lessie Belle","Class Prophecy. On a clear bright day I was filled with a restlessness, I could not understand. Try as I may nothing would interest me. After practicing my music very hard I found it was still there. Reading was useless and I was to [sic] unsociable to be in the company of the family. I decided to drown my feelings by taking a walk to my favorite nook which always proved soothing at such times. While walking leisurely along letting my eyes feast upon the beauties of nature I at last arrived at my favorite spot. Seating myself beside the brook with my back to a tree my eyes rested on a wild rose bush which had a single rose on it. Seemingly it was the most beautiful and the most perfect rose I had ever seen. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_030,1,30,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 30","Spann, Lessie Belle","Class Prophecy. It seemed as if it was smiling to and beckoning for me. Eagerly I plucked the rose, and as I gazed upon it, it seemed to have become clearer and more crystal like in its beauty. I at last became more interested in the rose being naturally curious anyway. Upon one of its petals were written: Pluck my petals and you will read the fate of your classmate. Hurriedly, I plucked one of the petals and read the name Viola P. Flowers, who was our class poetess. She is now one of the greatest Prima Donnis of the race and is being starred in Grand Opera. She is a credit to our race. On plucking the next petal I I read the name of Mytrolene Graye who greatest desire was to become a demonstration agent. Why the rose said she was more than she expected to be and that was the highest paid agent in the U.S.. close by was the name L Loryene Graye who is.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_031,1,31,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 31","Spann, Lessie Belle","Class Prophecy. is now a great D.S. teacher in one of the largest schools in the U.S.A., Channey. also author of several D S. text books. my isn't it strange how the rose even keeps the twins together. Upon plucking the next petal I read the name of Dimple Johnson who is now a happily married wife of a leading physician and has become the mother of three of the most beautiful little children. My this is interesting and plucking the next, I read the name of Louis Kohlheim who is doing social work in N.Y. One of the city's best also happily married to a young man of that city, who is doing government work. I at last plucked another petal and read the name of Florence B. Lovell who has at last won long coveted College Diploma realize to some extent the ideals of her dreams with modest home, whose greatest adornment is a piano and kitchen with all modern conveniences. Upon the next was the",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_032,1,32,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 32","Spann, Lessie Belle","Class Prophecy. name of Lucille Price who is now one of Paris foremost tailorist. Upon the next petal was written the name of L.B. Spann who is now a private Sec'ty of Principal Morton of Tuskegee Institute. Only three more petals left and half reluctantly I regret my treat to end nonetheless upon the next I read the name of Myra H. Roman, who is now a head nurse of St Luke's Hospital Chicago. My, my I've come to a delicate little petal and upon it was written the name of Olive B. Woods who is now a teacher of small children and has a system for teaching little ones, out rivalling that of Froebels. Oh how time does fly and what a pleasure it is to think of those gone by days with classmates. By -- O.M. Allen",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
